"67381790ce1a3f5d04d9df22","2024-11-16 03:54:56.000000","checkin","private","-360","true","40b28c80f964a5206bfe1ee3","Big Chicks","https://foursquare.com/v/big-chicks/40b28c80f964a5206bfe1ee3","0"
"id","createdAt","type","visibility","timeZoneOffset","private","venue.id","venue.name","venue.url","comments.count"
"6736dd9ce789235dcf588de8","2024-11-15 05:35:24.000000","checkin","private","-360","true","5ca6df274aa3f8002c074c23","Lazy Bird","https://foursquare.com/v/lazy-bird/5ca6df274aa3f8002c074c23","0"
"id","createdAt","type","visibility","timeZoneOffset","private","venue.id","venue.name","venue.url","comments.count"
"6736b214c6be64031446080c","2024-11-15 02:29:40.000000","checkin","private","-360","true","2f4ea9b6c93242a7e97c8ec5","Next","https://foursquare.com/v/next/2f4ea9b6c93242a7e97c8ec5","0"
"id","createdAt","type","visibility","timeZoneOffset","private","venue.id","venue.name","venue.url","comments.count"
"6736a31336094e1c4f2455c7","2024-11-15 01:25:39.000000","checkin","private","-360","true","6408b3256bfe407e3dad0739","Guinness Open Gate Brewery Chicago","https://foursquare.com/v/guinness-open-gate-brewery-chicago/6408b3256bfe407e3dad0739","0"
"id","createdAt","type","visibility","timeZoneOffset","private","venue.id","venue.name","venue.url","comments.count"
"6733e23058b0350cfbc25d0d","2024-11-12 23:18:08.000000","checkin","private","-360","true","4ae3cf7df964a520199921e3","Edgewater Produce","https://foursquare.com/v/edgewater-produce/4ae3cf7df964a520199921e3","0"
"id","createdAt","type","visibility","timeZoneOffset","private","venue.id","venue.name","venue.url","comments.count"
"6732744b1ca7fb00a8d98bdd","2024-11-11 21:16:59.000000","checkin","private","-360","true","58cdce93c9602779d100f553","Alulu","https://foursquare.com/v/alulu/58cdce93c9602779d100f553","0"
"id","createdAt","type","visibility","timeZoneOffset","private","venue.id","venue.name","venue.url","comments.count"
"672fb7dff65adc39296a800f","2024-11-09 19:28:31.000000","checkin","private","-360","true","4c75bf76d8948cfa2cbf68da","CesarLuna Hair Salon","https://foursquare.com/v/cesarluna-hair-salon/4c75bf76d8948cfa2cbf68da","0"
"id","createdAt","type","visibility","timeZoneOffset","private","venue.id","venue.name","venue.url","comments.count"
"672f885565c79b21a7944f1a","2024-11-09 16:05:41.000000","checkin","private","-360","true","4c3dedb3a97bbe9a9883fcdd","De La Salle Institute","https://foursquare.com/v/de-la-salle-institute/4c3dedb3a97bbe9a9883fcdd","0"
"id","createdAt","type","visibility","timeZoneOffset","private","venue.id","venue.name","venue.url","comments.count"
"672ab8c3b03a43768e91f1cd","2024-11-06 00:30:59.000000","checkin","private","-360","true","4ae3cf7df964a520199921e3","Edgewater Produce","https://foursquare.com/v/edgewater-produce/4ae3cf7df964a520199921e3","0"
"id","createdAt","type","visibility","timeZoneOffset","private","venue.id","venue.name","venue.url","comments.count"
"67298a50ea34846f297463e9","2024-11-05 03:00:32.000000","checkin","private","-360","true","4dfc110145ddebdfeaa9754e","Lickity Split Frozen Custard & Sweets","https://foursquare.com/v/lickity-split-frozen-custard--sweets/4dfc110145ddebdfeaa9754e","0"
"id","createdAt","type","visibility","timeZoneOffset","private","venue.id","venue.name","venue.url","comments.count"
"67282df4b5b38c3d6c330076","2024-11-04 02:14:12.000000","checkin","private","-360","true","40b28c80f964a520affb1ee3","House of Blues Restaurant & Bar","https://foursquare.com/v/house-of-blues-restaurant--bar/40b28c80f964a520affb1ee3","0"
"id","createdAt","type","visibility","timeZoneOffset","private","venue.id","venue.name","venue.url","comments.count"
"672821295a76b75056536684","2024-11-04 01:19:37.000000","checkin","private","-360","true","40db6b00f964a52077011fe3","Rossi's Liquors","https://foursquare.com/v/rossis-liquors/40db6b00f964a52077011fe3","0"
